 -3.750000000E-002 -3.749074782E-002 -3.746607888E-002 -3.742600232E-002 -3.736745790E-002
 -3.729354844E-002 -3.720430130E-002 -3.709669570E-002 -3.697383741E-002 -3.683577190E-002
 -3.667952979E-002 -3.650820753E-002 -3.632186854E-002 -3.611760653E-002 -3.589849644E-002
 -3.566461936E-002 -3.541314358E-002 -3.514711038E-002 -3.486661822E-002 -3.456892113E-002
 -3.425701474E-002 -3.393101447E-002 -3.358827095E-002 -3.323172230E-002 -3.286150050E-002
 -3.247506320E-002 -3.207527945E-002 -3.166229721E-002 -3.123369121E-002 -3.079225011E-002
 -3.033813729E-002 -2.986905412E-002 -2.938769784E-002 -2.889424660E-002 -2.838653751E-002
 -2.786716574E-002 -2.733632353E-002 -2.679199221E-002 -2.623665468E-002 -2.567051647E-002
 -2.509171115E-002 -2.450259952E-002 -2.390339962E-002 -2.329240458E-002 -2.267184380E-002
 -2.204194696E-002 -2.140117352E-002 -2.075161267E-002 -2.009350481E-002 -1.942548181E-002
 -1.874948441E-002 -1.806576278E-002 -1.737312660E-002 -1.667336049E-002 -1.596672343E-002
 -1.525220760E-002 -1.453143444E-002 -1.380467073E-002 -1.307109510E-002 -1.233215946E-002
 -1.158813729E-002 -1.083839696E-002 -1.008421507E-002 -9.325870769E-003 -8.562924614E-003
 -7.796472901E-003 -7.026799297E-003 -6.253658320E-003 -5.477961611E-003 -4.699996259E-003
 -3.919711694E-003 -3.137831310E-003 -2.354644482E-003 -1.570295756E-003 -7.853174213E-004
 0.000000000E+000 -3.805000000E-002 -3.804065585E-002 -3.801574164E-002 -3.797526639E-002
 -3.791613897E-002 -3.784149264E-002 -3.775135445E-002 -3.764267230E-002 -3.751858237E-002
 -3.737912965E-002 -3.722131285E-002 -3.704825896E-002 -3.686003071E-002 -3.665368923E-002
 -3.643234022E-002 -3.619606391E-002 -3.594199521E-002 -3.567320652E-002 -3.538979526E-002
 -3.508898116E-002 -3.477379148E-002 -3.444434040E-002 -3.409794326E-002 -3.373757041E-002
 -3.336335243E-002 -3.297271054E-002 -3.256854678E-002 -3.215100755E-002 -3.171762993E-002
 -3.127123642E-002 -3.081198869E-002 -3.033754916E-002 -2.985064989E-002 -2.935146718E-002
 -2.883779780E-002 -2.831227280E-002 -2.777508246E-002 -2.722416632E-002 -2.666204433E-002
 -2.608891996E-002 -2.550288345E-002 -2.490633393E-002 -2.429948726E-002 -2.368059172E-002
 -2.305191637E-002 -2.241368862E-002 -2.176432146E-002 -2.110594518E-002 -2.043879784E-002
 -1.976146322E-002 -1.907592463E-002 -1.838242986E-002 -1.767973884E-002 -1.696968030E-002
 -1.625251082E-002 -1.552717116E-002 -1.479532848E-002 -1.405724711E-002 -1.331205263E-002
 -1.256124429E-002 -1.180509312E-002 -1.104291281E-002 -1.027602895E-002 -9.504718234E-003
 -8.728484960E-003 -7.948476057E-003 -7.164972791E-003 -6.377671852E-003 -5.587537169E-003
 -4.794853485E-003 -3.999510906E-003 -3.202286753E-003 -2.403468127E-003 -1.603138820E-003
 -8.018866657E-004 0.000000000E+000 -3.860000000E-002 -3.859056389E-002 -3.856540440E-002
 -3.852453047E-002 -3.846482004E-002 -3.838943683E-002 -3.829840759E-002 -3.818864889E-002
 -3.806332733E-002 -3.792248739E-002 -3.776309591E-002 -3.758831039E-002 -3.739819287E-002
 -3.718977193E-002 -3.696618400E-002 -3.672750846E-002 -3.647084684E-002 -3.619930267E-002
 -3.591297229E-002 -3.560904119E-002 -3.529056821E-002 -3.495766634E-002 -3.460761557E-002
 -3.424341852E-002 -3.386520436E-002 -3.347035789E-002 -3.306181411E-002 -3.263971789E-002
 -3.220156865E-002 -3.175022273E-002 -3.128584009E-002 -3.080604421E-002 -3.031360194E-002
 -2.980868776E-002 -2.928905808E-002 -2.875737986E-002 -2.821384139E-002 -2.765634043E-002
 -2.708743399E-002 -2.650732344E-002 -2.591405574E-002 -2.531006834E-002 -2.469557491E-002
 -2.406877886E-002 -2.343198894E-002 -2.278543028E-002 -2.212746940E-002 -2.146027769E-002
 -2.078409088E-002 -2.009744463E-002 -1.940236485E-002 -1.869909694E-002 -1.798635107E-002
 -1.726600012E-002 -1.653829821E-002 -1.580213471E-002 -1.505922252E-002 -1.430982348E-002
 -1.355301016E-002 -1.279032912E-002 -1.202204895E-002 -1.124742866E-002 -1.046784282E-002
 -9.683565698E-003 -8.894045306E-003 -8.100479212E-003 -7.303146285E-003 -6.501685383E-003
 -5.697112727E-003 -4.889710712E-003 -4.079310117E-003 -3.266742195E-003 -2.452291771E-003
 -1.635981884E-003 -8.184559101E-004 0.000000000E+000 -3.915000000E-002 -3.914047193E-002
 -3.911506716E-002 -3.907379455E-002 -3.901350111E-002 -3.893738102E-002 -3.884546074E-002
 -3.873462549E-002 -3.860807229E-002 -3.846584514E-002 -3.830487898E-002 -3.812836182E-002
 -3.793635504E-002 -3.772585462E-002 -3.750002779E-002 -3.725895301E-002 -3.699969847E-002
 -3.672539881E-002 -3.643614933E-002 -3.612910122E-002 -3.580734495E-002 -3.547099227E-002
 -3.511728788E-002 -3.474926663E-002 -3.436705629E-002 -3.396800523E-002 -3.355508145E-002
 -3.312842823E-002 -3.268550737E-002 -3.222920904E-002 -3.175969149E-002 -3.127453925E-002
 -3.077655400E-002 -3.026590834E-002 -2.974031837E-002 -2.920248692E-002 -2.865260032E-002
 -2.808851454E-002 -2.751282364E-002 -2.692572693E-002 -2.632522803E-002 -2.571380275E-002
 -2.509166256E-002 -2.445696601E-002 -2.381206151E-002 -2.315717193E-002 -2.249061733E-002
 -2.181461020E-002 -2.112938391E-002 -2.043342604E-002 -1.972880506E-002 -1.901576402E-002
 -1.829296330E-002 -1.756231993E-002 -1.682408560E-002 -1.607709827E-002 -1.532311655E-002
 -1.456239986E-002 -1.379396769E-002 -1.301941395E-002 -1.223900479E-002 -1.145194451E-002
 -1.065965670E-002 -9.862413163E-003 -9.059605652E-003 -8.252482368E-003 -7.441319779E-003
 -6.625698915E-003 -5.806688285E-003 -4.984567938E-003 -4.159109329E-003 -3.331197638E-003
 -2.501115416E-003 -1.668824948E-003 -8.350251545E-004 0.000000000E+000 -3.970000000E-002
 -3.969037996E-002 -3.966472993E-002 -3.962305863E-002 -3.956218218E-002 -3.948532521E-002
 -3.939251389E-002 -3.928060209E-002 -3.915281725E-002 -3.900920289E-002 -3.884666204E-002
 -3.866841325E-002 -3.847451720E-002 -3.826193732E-002 -3.803387157E-002 -3.779039755E-002
 -3.752855009E-002 -3.725149495E-002 -3.695932637E-002 -3.664916125E-002 -3.632412169E-002
 -3.598431820E-002 -3.562696020E-002 -3.525511474E-002 -3.486890822E-002 -3.446565258E-002
